window_index,ticker,window_start,window_end,feed_queries,rss_rows_recorded,queries_attempted,articles_saved,independent_articles,directional_raw_observations,raw_match_rate,directional_excess_observations,excess_match_rate,average_return_20d,average_excess_return_20d,what_went_wrong
2,IONQ,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RDW,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RKLB,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,RXRX,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,SOUN,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
2,UUUU,2025-12-10,2025-12-17,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,ARCT,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,ASTS,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,BBAI,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,CRSP,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,IONQ,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RDW,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RKLB,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
3,RXRX,2025-12-29,2026-01-05,8,8,8,0,0,0,,0,,,,Skipped because Reuters reached source failure cap (3) || Skipped because CNBC reached source failure cap (3) || Skipped because Yahoo Finance reached source failure cap (3) || Skipped because GlobeNewswire reached source failure cap (3) || Skipped because Business Wire reached source failure cap (3) || Skipped because PR Newswire reached source failure cap (3) || Skipped because Accesswire reached source failure cap (3) || Skipped because Seeking Alpha reached source failure cap (3)
